description,category,source_category,subcategory,solution,source
Engine performance issues; Squealing noise from engine bay,Motor,Engine Components,Engine Belt,Likely component: Engine Belt. Diagnostic path: Inspect engine belt for cuts or wear → Check belt tension and alignment.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Noise when turning steering wheel,Direksiyon,Steering,Steering Noise,Likely component: Steering Noise. Diagnostic path: Inspect power steering fluid level → Check power steering pump and hoses for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Uneven tire wear; Vibration while driving,Şanzıman,Drivetrain,Shaft and Tires,Likely component: Shaft and Tires. Diagnostic path: Inspect shaft for balance and alignment → Check tire pressure and condition.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Decreased engine performance; Black smoke from exhaust,Motor,Engine Compartment,Air Filter,Likely component: Air Filter. Diagnostic path: Inspect air filter for clogs or dirt → Replace air filter if necessary.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Poor fuel economy,Motor,Engine Compartment,Engine Control Unit (ECU),Likely component: Engine Control Unit (ECU). Diagnostic path: Check ECU for fault codes → Inspect ECU wiring harness for damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Low oil pressure warning light; Loud engine noise,Motor,Engine Compartment,Engine Oil,Likely component: Engine Oil. Diagnostic path: Check engine oil level and condition → Inspect for oil leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine stalls at high speeds; Poor acceleration,Motor,Engine Compartment,Fuel Filter,Likely component: Fuel Filter. Diagnostic path: Inspect fuel filter for clogs or debris → Replace fuel filter if necessary.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Oil leaks; Rough idle,Motor,Engine Compartment,PCV Valve,Likely component: PCV Valve. Diagnostic path: Inspect PCV valve for clogs → Check PCV valve hose for cracks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Poor acceleration; Stalling at idle,Motor,Engine Compartment,Throttle Body,Likely component: Throttle Body. Diagnostic path: Inspect throttle body for carbon buildup → Test throttle position sensor (TPS).,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine misfires; Poor fuel economy,Motor,Fuel System,Fuel Injector,Likely component: Fuel Injector. Diagnostic path: Test fuel injector spray pattern → Inspect injector for leaks or clogs.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine stalls; Black smoke from exhaust,Motor,Fuel System,Fuel Pressure Regulator,Likely component: Fuel Pressure Regulator. Diagnostic path: Test fuel pressure regulator operation → Check fuel pressure at regulator.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine sputters at high speeds; Loss of power,Motor,Fuel System,Fuel Pump,Likely component: Fuel Pump. Diagnostic path: Test fuel pump pressure → Inspect fuel pump for leaks or damage.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Fuel odor inside vehicle; Visible fuel leak under vehicle,Motor,Fuel System,Fuel Tank,Likely component: Fuel Tank. Diagnostic path: Inspect fuel tank for leaks or damage → Check fuel filler cap for seal.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine hesitates on acceleration; Stalling at idle,Motor,Fuel System,Throttle Position Sensor,Likely component: Throttle Position Sensor. Diagnostic path: Test throttle position sensor (TPS) voltage → Inspect TPS wiring for damage or corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Soft brake pedal; Brake warning light on,Motor,Liquid Systems,Brake Fluid,Likely component: Brake Fluid. Diagnostic path: Check brake fluid level and condition → Inspect brake lines for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine overheating; Low coolant warning light,Motor,Liquid Systems,Coolant Reservoir,Likely component: Coolant Reservoir. Diagnostic path: Check coolant level in reservoir → Inspect reservoir for cracks or leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Whining noise when turning; Stiff steering wheel,Motor,Liquid Systems,Power Steering Fluid,Likely component: Power Steering Fluid. Diagnostic path: Check power steering fluid level → Inspect power steering hoses for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Engine overheating; Coolant leak,Motor,Liquid Systems,Radiator,Likely component: Radiator. Diagnostic path: Inspect radiator for leaks or damage → Check radiator cap for proper seal.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
No washer fluid spray; Weak washer fluid spray,Motor,Liquid Systems,Windshield Washer Fluid,Likely component: Windshield Washer Fluid. Diagnostic path: Check washer fluid level → Inspect washer fluid pump for operation.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Soft clutch pedal; Clutch slipping,Şanzıman,Transmission,Clutch Master Cylinder,Likely component: Clutch Master Cylinder. Diagnostic path: Check clutch fluid level → Inspect master cylinder for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Slipping gears; Shuddering during acceleration,Şanzıman,Transmission,Torque Converter,Likely component: Torque Converter. Diagnostic path: Inspect torque converter for leaks or damage → Check transmission fluid level and condition.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Gears slipping; Transmission overheating,Şanzıman,Transmission,Transmission Fluid,Likely component: Transmission Fluid. Diagnostic path: Check transmission fluid level and condition → Inspect transmission pan and seals for leaks.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Delayed shifting; Transmission slipping,Şanzıman,Transmission,Transmission Filter,Likely component: Transmission Filter. Diagnostic path: Inspect transmission filter for clogs or debris → Replace transmission filter if necessary.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Erratic shifting; Transmission won't shift gears,Şanzıman,Transmission,Transmission Solenoid,Likely component: Transmission Solenoid. Diagnostic path: Test transmission solenoids for electrical continuity → Inspect wiring harness for damage or corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Grinding noise from wheels; Uneven tire wear,Süspansiyon,Wheels & Tires,Wheel Bearing,Likely component: Wheel Bearing. Diagnostic path: Check wheel bearing for play → Inspect bearing for signs of damage or corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
TPMS warning light on; Low tire pressure,Süspansiyon,Wheels & Tires,Tire Pressure Monitoring System (TPMS),Likely component: Tire Pressure Monitoring System (TPMS). Diagnostic path: Check tire pressures with gauge → Inspect TPMS sensors for damage or corrosion.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
Clicking or popping noise when turning; Wheel wobbling,Süspansiyon,Wheels & Tires,Wheel Hub,Likely component: Wheel Hub. Diagnostic path: Inspect wheel hub for play or bearing noise → Check wheel bearings for wear.,Zenodo:10.5281/zenodo.15626055 (CC-BY 4.0)
